Parameter,"3/24/16
Sherman Creek North,
March 24, 2016","2016-01
Transmitter Park,
May 27, 2016","4Ah
BCS,
June 14, 2016","Baseline Spats and Site
ORS 4 tagged spat,
June 23, 2016","June 24 2016
Pier A,
June 24, 2016","Day 1 Data Collection
Tarrytown Boat Club,
July 6, 2016","2016-02
Transmitter Park,
July 9, 2016","7/12/16 - Pier 40
Pier 40,
July 11, 2016","7/17/16
Bearbower,
July 17, 2016","7/19/16 - Pier 26
Pier 26,
July 19, 2016","Day 2 Data Collection
Tarrytown Boat Club,
July 20, 2016","July 23, 2016
61st & John Finley Walk,
July 23, 2016","Yonkers Day 1 Data Collection
Science Barge,
July 31, 2016","8/2/16 - Pier 84
Pier 84,
August 2, 2016","Day 3 Data Collection
Tarrytown Boat Club,
August 4, 2016"
"Weather conditions
(1=Sunny,2=Partly Cloudy,3=Cloudy,4=Rain,
5=Fog,6=Snow,7=Hail,8=Thunderstorm)",1,1,3,3,1,2,3,1,1,1,1,1,4,1,2
Wind direction,NE,W,N,S,E,N,SE,S,N,NW,W,NW,S,E,NE
Wind speed (mph),30,9,2,3.3,7,4.6,11,10,5,7,3.7,5,1.5,16,1.3
Air temperature (C),18.3,26,11,27,25.5,32,20,82,84,12,23.77778,33.3,26.4,25,72.4
Tide conditions,,,,,,,,,,,,,,,
Reference Point (location name),SHORELINE,,,bulkhead,,Tappan Zee Bridge,Hunters Point,The Battery,?,The Battery,Tappan Zee Bridge,,Yonkers,The Battery,Tappan Zee Bridge
"Closest High Tide (date, time)","Mar 24, 2016, 7:38pm","May 27, 2016, 6:00pm","Apr 27, 2016, 10:00am","Jun 23, 2016, 4:08pm","Jun 24, 2016, 3:55pm","Jul 6, 2016, 4:25pm","Jul 9, 2016, 6:33pm","Jul 12, 2016, 6:31pm","Jul 17, 2016, 10:54am","Jul 19, 2016, 11:44pm","Jul 20, 2016, 3:04pm","Jul 23, 2016, 3:29pm","Aug 1, 2016, 1:17am","Aug 3, 2016, 12:51am","Sep 2, 2016, 2:38am"
Closest High Tide Height (ft),30,,,4,,3.4,4,4.4,1,5,3.5,,4.7,5.55,3.6
"Closest Low Tide (date, time)","Mar 25, 2016, 2:29am","May 27, 2016, 12:00pm","Apr 27, 2016, 4:00pm","Jun 23, 2016, 10:01am","Jun 24, 2016, 9:58pm","Jul 6, 2016, 11:17am","Aug 2, 2016, 12:21am","Jul 13, 2016, 1:59am","Jul 17, 2016, 5:08pm","Jul 19, 2016, 5:48pm","Jul 20, 2016, 9:29pm","Jul 23, 2016, 9:32pm","Jul 31, 2016, 5:56pm","Aug 2, 2016, 6:43pm","Jun 16, 2016, 1:15am"
Closest Low Tide Height (ft),23,,,0,,0.2,-1,1,1,1,0.4,,0.1,-0.3,0.05
